date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-06-01,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-02,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-05,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-06,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-07,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-08,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-09,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-12,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-13,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-14,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-15,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-16,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-19,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-20,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-21,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-22,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-23,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-26,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-27,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-28,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-29,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-06-30,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-03,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-04,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-05,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-06,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-07,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-10,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-11,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-12,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-13,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-14,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-17,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-18,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-19,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-20,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-21,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-24,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-25,sz.000100,3.4300,3.4300,3.4300,3.4300,3.4300,0,0.0000,3,,0,0.000000,23.412119,1.771342,0.385786,5.062333,0
2017-07-26,sz.000100,3.7200,3.7200,3.5300,3.6100,3.4300,400359376,1444692032.0000,3,4.447767,1,5.247808,24.640744,1.864299,0.406031,5.327995,0
2017-07-27,sz.000100,3.5800,3.6000,3.5500,3.5800,3.6100,142210966,507769920.0000,3,1.579884,1,-0.831024,24.435973,1.848806,0.402657,5.283718,0
2017-07-28,sz.000100,3.5800,3.6400,3.5700,3.5900,3.5800,106177968,381925952.0000,3,1.179577,1,0.279329,24.504230,1.853971,0.403782,5.298477,0
2017-07-31,sz.000100,3.5700,3.6900,3.5500,3.6700,3.5900,176071679,637998208.0000,3,1.956057,1,2.228417,25.050285,1.895285,0.412780,5.416549,0
2017-08-01,sz.000100,3.6500,3.9500,3.6500,3.8300,3.6700,303016624,1157488576.0000,3,3.366344,1,4.359669,26.142396,1.977913,0.430776,6.277607,0
2017-08-02,sz.000100,3.8500,3.8600,3.7500,3.7700,3.8300,188221826,713070416.0000,3,2.091038,1,-1.566578,22.679591,1.945741,0.416776,6.179263,0
2017-08-03,sz.000100,3.7500,3.8000,3.7500,3.7800,3.7700,99702754,376180928.0000,3,1.107641,1,0.265252,22.739749,1.950902,0.417881,6.195653,0
2017-08-04,sz.000100,3.7900,3.8000,3.7100,3.7100,3.7800,89355372,334456304.0000,3,0.992688,1,-1.851850,22.318643,1.914774,0.410143,6.080919,0
2017-08-07,sz.000100,3.7100,3.7400,3.6900,3.7200,3.7100,66391658,246854913.0000,3,0.737574,1,0.269541,22.378801,1.919935,0.411248,6.097310,0
2017-08-08,sz.000100,3.7200,3.7500,3.7000,3.7200,3.7200,64991146,241910494.0000,3,0.722015,1,0.000000,22.378801,1.919935,0.411248,6.097310,0
2017-08-09,sz.000100,3.7200,3.7200,3.6400,3.6800,3.7200,103719474,380502400.0000,3,1.152265,1,-1.075268,22.138169,1.899291,0.406826,6.031747,0
2017-08-10,sz.000100,3.6700,3.6700,3.6000,3.6100,3.6800,78186695,283685744.0000,3,0.868610,1,-1.902179,21.717062,1.863163,0.399088,5.917013,0
2017-08-11,sz.000100,3.5900,3.6000,3.5200,3.5300,3.6100,82852055,294819616.0000,3,0.920440,1,-2.216064,21.235798,1.821874,0.390244,5.785888,0
2017-08-14,sz.000100,3.5400,3.5900,3.5400,3.5800,3.5300,46916084,167496380.0000,3,0.521211,1,1.416429,21.536588,1.847680,0.395771,5.867841,0
2017-08-15,sz.000100,3.5900,3.6300,3.5700,3.6000,3.5800,50366989,181457842.0000,3,0.559549,1,0.558659,21.656904,1.858002,0.397982,5.900622,0
2017-08-16,sz.000100,3.5900,3.6000,3.5700,3.5900,3.6000,40892368,146588030.0000,3,0.454291,1,-0.277778,21.596746,1.852841,0.396877,5.884232,0
2017-08-17,sz.000100,3.5800,3.6100,3.5800,3.6000,3.5900,46373766,166776590.0000,3,0.515186,1,0.278551,21.656904,1.858002,0.397982,5.900622,0
2017-08-18,sz.000100,3.5800,3.6000,3.5700,3.5900,3.6000,37986502,136094023.0000,3,0.422009,1,-0.277778,21.596746,1.852841,0.396877,5.884232,0
2017-08-21,sz.000100,3.5800,3.6300,3.5800,3.6200,3.5900,61494971,222080495.0000,3,0.683174,1,0.835654,21.777220,1.868324,0.400193,5.933404,0
2017-08-22,sz.000100,3.6200,3.6200,3.5800,3.5900,3.6200,39608147,142450082.0000,3,0.440024,1,-0.828729,21.596746,1.852841,0.396877,5.884232,0
2017-08-23,sz.000100,3.5900,3.5900,3.5600,3.5800,3.5900,31566500,113002075.0000,3,0.350686,1,-0.278551,21.536588,1.847680,0.395771,5.867841,0
2017-08-24,sz.000100,3.5800,3.5900,3.5500,3.5500,3.5800,35417794,126365420.0000,3,0.393472,1,-0.837988,21.356114,1.832196,0.392455,5.818669,0
2017-08-25,sz.000100,3.5500,3.5900,3.5400,3.5800,3.5500,37341925,133490267.0000,3,0.414848,1,0.845070,21.536588,1.847680,0.395771,5.867841,0
2017-08-28,sz.000100,3.5900,3.6300,3.5800,3.6100,3.5800,83443402,301298032.0000,3,0.927009,1,0.837988,21.717062,1.863163,0.399088,5.917013,0
2017-08-29,sz.000100,3.6100,3.6300,3.5800,3.5900,3.6100,43839816,157797364.0000,3,0.487036,1,-0.554016,21.596746,1.852841,0.396877,5.884232,0
2017-08-30,sz.000100,3.5900,3.6100,3.5800,3.5900,3.5900,46460785,167007117.0000,3,0.516153,1,0.000000,21.596746,1.852841,0.396877,5.884232,0
2017-08-31,sz.000100,3.5900,3.6000,3.5600,3.5700,3.5900,50012235,178644958.0000,3,0.555608,1,-0.557103,21.476430,1.842519,0.394666,5.851450,0
2017-09-01,sz.000100,3.5800,3.6000,3.5700,3.5900,3.5700,50661395,181545401.0000,3,0.562820,1,0.560223,21.596746,1.852841,0.396877,5.884232,0
2017-09-04,sz.000100,3.5900,3.6000,3.5500,3.5700,3.5900,66182317,236654160.0000,3,0.735248,1,-0.557103,21.476430,1.842519,0.394666,5.851450,0
2017-09-05,sz.000100,3.5700,3.6000,3.5600,3.5900,3.5700,56949388,204149877.0000,3,0.632676,1,0.560223,21.596746,1.852841,0.396877,5.884232,0
2017-09-06,sz.000100,3.5800,3.5900,3.5500,3.5800,3.5900,57253500,204406506.0000,3,0.636054,1,-0.278551,21.536588,1.847680,0.395771,5.867841,0
2017-09-07,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-08,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-11,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-12,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-13,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-14,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-15,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-18,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-19,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-20,sz.000100,3.5800,3.5800,3.5800,3.5800,3.5800,0,0.0000,3,,0,0.000000,21.536588,1.847680,0.395771,5.867841,0
2017-09-21,sz.000100,3.6100,3.7400,3.6000,3.6400,3.5800,190132466,695282075.2400,3,2.112265,1,1.675983,21.897536,1.878646,0.402404,5.966185,0
2017-09-22,sz.000100,3.6200,3.6300,3.5500,3.5700,3.6400,75690380,270903295.0900,3,0.840877,1,-1.923082,21.476430,1.842519,0.394666,5.851450,0
2017-09-25,sz.000100,3.5700,3.5800,3.5000,3.5100,3.5700,43449817,153532394.3600,3,0.482703,1,-1.680671,21.115481,1.811552,0.388033,5.753107,0
2017-09-26,sz.000100,3.5100,3.5700,3.5100,3.5500,3.5100,51232533,181363449.9900,3,0.569165,1,1.139600,21.356114,1.832196,0.392455,5.818669,0
2017-09-27,sz.000100,3.5400,3.5600,3.5100,3.5400,3.5500,49833674,175925035.0100,3,0.553624,1,-0.281690,21.295956,1.827035,0.391349,5.802279,0
2017-09-28,sz.000100,3.5400,3.6300,3.5100,3.6100,3.5400,112016881,401014923.0400,3,1.244444,1,1.977399,21.717062,1.863163,0.399088,5.917013,0
2017-09-29,sz.000100,3.5800,3.6200,3.5500,3.5600,3.6100,60147599,215244240.7100,3,0.668206,1,-1.385040,21.416272,1.837358,0.393560,5.835060,0
2017-10-09,sz.000100,3.5900,3.8200,3.5800,3.7200,3.5600,270927136,1000119085.1500,3,3.009848,1,4.494385,22.378801,1.919935,0.411248,6.097310,0
2017-10-10,sz.000100,3.7000,3.7400,3.6600,3.7400,3.7200,156483802,580065391.7100,3,1.738447,1,0.537634,22.499117,1.930258,0.413459,6.130091,0
2017-10-11,sz.000100,3.7400,3.7500,3.6700,3.6900,3.7400,111725900,413450685.5000,3,1.241212,1,-1.336897,22.198327,1.904452,0.407932,6.048138,0
2017-10-12,sz.000100,3.6800,3.7400,3.6600,3.6800,3.6900,99957837,369813471.9500,3,1.110475,1,-0.271002,22.138169,1.899291,0.406826,6.031747,0
2017-10-13,sz.000100,3.6700,3.7600,3.6600,3.7600,3.6800,180502666,672466457.3600,3,2.005283,1,2.173911,22.619433,1.940580,0.415670,6.162872,0
2017-10-16,sz.000100,3.7800,3.9400,3.7400,3.8800,3.7600,451719424,1742749359.2100,3,5.018348,1,3.191493,23.341330,2.002513,0.428936,6.359560,0
2017-10-17,sz.000100,3.8400,4.0400,3.7900,4.0100,3.8800,375354912,1474915023.4400,3,4.169982,1,3.350518,24.123385,2.069608,0.443308,6.572638,0
2017-10-18,sz.000100,4.0100,4.3900,4.0100,4.2100,4.0100,626361792,2651761444.8200,3,6.958527,1,4.987526,25.326546,2.172830,0.465418,6.900450,0
2017-10-19,sz.000100,4.2000,4.2900,4.1300,4.1600,4.2100,362270864,1522683826.4600,3,4.024625,1,-1.187653,25.025756,2.147024,0.459890,6.818497,0
2017-10-20,sz.000100,4.1300,4.2000,4.0700,4.0900,4.1600,300122768,1237033344.8200,3,3.334195,1,-1.682685,24.604649,2.110897,0.452152,6.703763,0
2017-10-23,sz.000100,4.1000,4.3400,4.0900,4.3400,4.0900,368286416,1559976681.0400,3,4.091455,1,6.112469,26.108601,2.239925,0.479789,7.113528,0
2017-10-24,sz.000100,4.3300,4.3500,4.2200,4.2700,4.3400,246367576,1051178969.0100,3,2.737005,1,-1.612907,25.687495,2.203797,0.472051,6.998794,0
2017-10-25,sz.000100,4.2800,4.4200,4.2400,4.4000,4.2700,354117776,1539936156.8700,3,3.934049,1,3.044499,26.469549,2.270891,0.486423,7.211872,0
2017-10-26,sz.000100,4.4000,4.6200,4.3500,4.4200,4.4000,455758176,2046538990.9500,3,5.063216,1,0.454545,27.401564,2.194720,0.485649,-11.141336,0
2017-10-27,sz.000100,4.4200,4.5300,4.2800,4.4600,4.4200,375006320,1652272534.5500,3,4.166109,1,0.904976,27.649542,2.214582,0.490044,-11.242163,0
2017-10-30,sz.000100,4.4400,4.5400,4.3800,4.4000,4.4600,348373360,1551724783.7900,3,3.870232,1,-1.345290,27.277575,2.184789,0.483452,-11.090923,0
2017-10-31,sz.000100,4.3400,4.4000,4.2700,4.3400,4.4000,235896981,1020257785.1200,3,2.620683,1,-1.363635,26.905608,2.154997,0.476859,-10.939683,0
2017-11-01,sz.000100,4.3500,4.3600,4.1900,4.2100,4.3400,235552139,1003542937.1000,3,2.616852,1,-2.995394,26.099679,2.090446,0.462575,-10.611997,0
